n	d.pop	meand	over	meand.all	over.all
20	0.2	0.802349718462439	4.01174859231219	0.204058644472083	1.02029322236041
40	0.2	0.564731780086604	2.82365890043302	0.201949109185929	1.00974554592964
60	0.2	0.465233571227227	2.32616785613614	0.201282508759537	1.00641254379769
80	0.2	0.407571463070849	2.03785731535425	0.200955667960178	1.00477833980089
100	0.2	0.369064082195688	1.84532041097844	0.200761582560719	1.0038079128036
20	0.5	0.868621432496921	1.73724286499384	0.510146610945122	1.02029322189024
40	0.5	0.652739525725639	1.30547905145128	0.504872772978965	1.00974554595793
60	0.5	0.574831199594413	1.14966239918883	0.503206271918338	1.00641254383668
80	0.5	0.538317701914119	1.07663540382824	0.502389169892683	1.00477833978537
100	0.5	0.519873419545256	1.03974683909051	0.501903956403933	1.00380791280787
20	0.8	0.98399491406095	1.22999364257619	0.816234577512524	1.02029322189066
40	0.8	0.835878973744317	1.0448487171804	0.807796436758496	1.00974554594812
60	0.8	0.809458595398383	1.01182324424798	0.805130035068461	1.00641254383558
80	0.8	0.804398410765937	1.00549801345742	0.80382267182317	1.00477833977896
100	0.8	0.803114201837411	1.00389275229676	0.80304633024469	1.00380791280586
