n	d.pop	power
20	0	0.025
40	0	0.025
60	0	0.0250000000000011
80	0	0.0250000000000003
100	0	0.0250000000000001
20	0.2	0.0895807106590618
40	0.2	0.140849238216459
60	0.2	0.191217273047697
80	0.2	0.241110621351992
100	0.2	0.290266404572217
20	0.5	0.337708365563488
40	0.5	0.598131600923826
60	0.5	0.775264429878037
80	0.5	0.881602332213666
100	0.5	0.940427182324771
20	0.8	0.693399444317275
40	0.8	0.942181820167602
60	0.8	0.991481139557317
80	0.8	0.998925089418932
100	0.8	0.999878380033858
