n	d.het	sd.het	meand	meand.tval	meand.all	over	over.tval	over.all
20	0	0	0.758161322865282	0.758161322865282	0.00476611978713894	Inf	Inf	Inf
100	0	0	0.359843561268915	0.359843561268915	0.00210248755971538	Inf	Inf	Inf
200	0	0	0.226546445647617	0.226546445647617	-0.00197186804941895	Inf	Inf	-Inf
300	0	0	0.186265112703226	0.186265112703226	-0.0020151883928274	Inf	Inf	-Inf
400	0	0	0.167135289744422	0.167135289744422	0.00637030932142784	Inf	Inf	Inf
20	0.5	0	0.873924171868092	0.873924171868092	0.510121433357571	1.74784834373618	1.74784834373618	1.02024286671514
100	0.5	0	0.521481329408561	0.521481329408561	0.504324273371734	1.04296265881712	1.04296265881712	1.00864854674347
200	0.5	0	0.503212753739246	0.503212753739246	0.502902841948511	1.00642550747849	1.00642550747849	1.00580568389702
300	0.5	0	0.504346959065349	0.504346959065349	0.504346959065349	1.0086939181307	1.0086939181307	1.0086939181307
400	0.5	0	0.502560283856042	0.502560283856042	0.502560283856042	1.00512056771208	1.00512056771208	1.00512056771208
20	0	0.2	0.959751511696918	0.843549449286981	0.00684953355040027	Inf	Inf	Inf
100	0	0.2	0.555874819068934	0.397106344934885	0.00331244022223263	Inf	Inf	Inf
200	0	0.2	0.517970629011928	0.315050089482209	-0.00126396691443128	Inf	Inf	-Inf
300	0	0.2	0.497412300318577	0.301567871554716	0.012132885143056	Inf	Inf	Inf
400	0	0.2	0.487846952038426	0.264931287660936	-0.00539441954032346	Inf	Inf	-Inf
20	0.5	0.2	1.00843534665823	0.912085188714113	0.502840311692623	2.01687069331645	1.82417037742823	1.00568062338525
100	0.5	0.2	0.689549756480438	0.580987025144212	0.498658608934462	1.37909951296088	1.16197405028842	0.997317217868925
200	0.5	0.2	0.636750200333288	0.540089616411463	0.500240978791024	1.27350040066658	1.08017923282293	1.00048195758205
300	0.5	0.2	0.629455819762088	0.529243529133198	0.504820564592795	1.25891163952418	1.0584870582664	1.00964112918559
400	0.5	0.2	0.627157702568392	0.528290898065253	0.505558316778574	1.25431540513678	1.05658179613051	1.01111663355715
20	0	0.4	1.23783524789079	0.905217799825691	-0.0238936194565315	Inf	Inf	-Inf
100	0	0.4	1.00268922107916	0.522613094601877	-0.00380321724170183	Inf	Inf	-Inf
200	0	0.4	0.932786173885823	0.454366221213641	-0.00304087326557281	Inf	Inf	-Inf
300	0	0.4	0.946638467188845	0.407013765312237	0.00634640486595777	Inf	Inf	Inf
400	0	0.4	0.919312200242217	0.409241079302214	-0.00470124284008726	Inf	Inf	-Inf
20	0.5	0.4	1.34974529772281	1.0389104630013	0.515927049226122	2.69949059544562	2.07782092600261	1.03185409845224
100	0.5	0.4	1.08480987503691	0.717851857076809	0.492200218755547	2.16961975007383	1.43570371415362	0.984400437511095
200	0.5	0.4	1.04282307943268	0.663351145586381	0.505287923364419	2.08564615886536	1.32670229117276	1.01057584672884
300	0.5	0.4	1.03053174246384	0.650788631224559	0.514685588054252	2.06106348492768	1.30157726244912	1.0293711761085
400	0.5	0.4	1.04599815440278	0.633462288406075	0.495243763258769	2.09199630880557	1.26692457681215	0.990487526517538
