n	sd.het	d.het	lo	hi	ci	lo.tval	hi.tval	ci.tval	over
20	0	0	-0.619815761514706	0.619815761514707	1.23963152302941	-0.619815761514706	0.619815761514707	1.23963152302941	1
100	0	0	-0.277193419913382	0.277193419913382	0.554386839826764	-0.277193419913382	0.277193419913382	0.554386839826764	1
200	0	0	-0.19599515782741	0.19599515782741	0.39199031565482	-0.19599515782741	0.19599515782741	0.39199031565482	1
300	0	0	-0.160032171721706	0.160032171721706	0.320064343443412	-0.160032171721706	0.160032171721706	0.320064343443412	1
400	0	0	-0.138590282306354	0.138590282306354	0.277180564612708	-0.138590282306354	0.138590282306354	0.277180564612708	1
20	0.2	0	-0.733352640435826	0.733352640435826	1.46670528087165	-0.619815761514706	0.619815761514707	1.23963152302941	1.18317843135137
100	0.2	0	-0.480080057183447	0.480080057183447	0.960160114366894	-0.277193419913382	0.277193419913382	0.554386839826764	1.73193165022988
200	0.2	0	-0.438261216863417	0.438261216863417	0.876522433726834	-0.19599515782741	0.19599515782741	0.39199031565482	2.23608185896787
300	0.2	0	-0.423402318505199	0.423402318505199	0.846804637010399	-0.160032171721706	0.160032171721706	0.320064343443412	2.64573250459595
400	0.2	0	-0.415795321704419	0.415795321704419	0.831590643408838	-0.138590282306354	0.138590282306354	0.277180564612708	3.00017659813481
20	0.4	0	-0.999390628243506	0.999390628243507	1.99878125648701	-0.619815761514706	0.619815761514707	1.23963152302941	1.61239950691347
100	0.4	0	-0.831543380641072	0.831543380641072	1.66308676128214	-0.277193419913382	0.277193419913382	0.554386839826764	2.99986695535888
200	0.4	0	-0.808115400893884	0.808115400893884	1.61623080178777	-0.19599515782741	0.19599515782741	0.39199031565482	4.12313962167114
300	0.4	0	-0.800153611151807	0.800153611151807	1.60030722230361	-0.160032171721706	0.160032171721706	0.320064343443412	4.99995471250158
400	0.4	0	-0.796142847044086	0.796142847044086	1.59228569408817	-0.138590282306354	0.138590282306354	0.277180564612708	5.74457915659781
20	0	0.5	-0.133017275729374	1.12663385408644	1.25965112981582	-0.133017275729374	1.12663385408644	1.25965112981582	1
100	0	0.5	0.217869651315112	0.780905329616392	0.56303567830128	0.217869651315112	0.780905329616392	0.56303567830128	1
200	0	0.5	0.300646939255113	0.698738003242536	0.398091063987423	0.300646939255113	0.698738003242536	0.398091063987423	1
300	0	0.5	0.337257272766246	0.662332353130568	0.325075080364322	0.337257272766246	0.662332353130568	0.325075080364322	1
400	0	0.5	0.359112596463816	0.640585042521093	0.281472446057277	0.359112596463816	0.640585042521093	0.281472446057277	1
20	0.2	0.5	-0.245088660284848	1.23865512714146	1.48374378742631	-0.133017275729374	1.12663385408644	1.25965112981582	1.17790057286993
100	0.2	0.5	0.0167600779992313	0.982002094899918	0.965242016900687	0.217869651315112	0.780905329616392	0.56303567830128	1.71435320016112
200	0.2	0.5	0.0600522438791756	0.939317749553092	0.879265505673917	0.300646939255113	0.698738003242536	0.398091063987423	2.20870445286281
300	0.2	0.5	0.0754430433196839	0.924160943165797	0.848717899846113	0.337257272766246	0.662332353130568	0.325075080364322	2.61083654549874
400	0.2	0.5	0.0833484538192823	0.916311213386782	0.8329627595675	0.359112596463816	0.640585042521093	0.281472446057277	2.95930479602966
20	0.4	0.5	-0.508888366892401	1.50241005353431	2.01129842042671	-0.133017275729374	1.12663385408644	1.25965112981582	1.59671068664924
100	0.4	0.5	-0.333626033964341	1.33237293013274	1.66599896409708	0.217869651315112	0.780905329616392	0.56303567830128	2.9589580701591
200	0.4	0.5	-0.309175166585672	1.30855018166002	1.61772534824569	0.300646939255113	0.698738003242536	0.398091063987423	4.06370676106611
300	0.4	0.5	-0.300884644568698	1.30044935735397	1.60133400192267	0.337257272766246	0.662332353130568	0.325075080364322	4.92604354701074
400	0.4	0.5	-0.296675186192065	1.29636742191913	1.59304260811119	0.359112596463816	0.640585042521093	0.281472446057277	5.65967514911574
