n	d.pop	meand	over	meand.all	over.all
20	0.3	0.820560874394263	2.73520291464754	0.306087966567364	1.02029322189121
40	0.3	0.586693944496333	1.95564648165444	0.30292366378698	1.0097455459566
60	0.3	0.490761360008265	1.63587120002755	0.301923763135184	1.00641254378395
80	0.3	0.436612741119376	1.45537580373125	0.301433501950661	1.00477833983554
100	0.3	0.40161088955192	1.33870296517307	0.30114237384527	1.00380791281757
120	0.3	0.377251341265281	1.25750447088427	0.300949534158969	1.00316511386323
140	0.3	0.359519675824952	1.19839891941651	0.300812396656703	1.00270798885568
160	0.3	0.346234743139875	1.15411581046625	0.300709872545225	1.00236624181742
180	0.3	0.336090673214428	1.12030224404809	0.300630325708909	1.00210108569636
200	0.3	0.328247599666557	1.09415866555519	0.300566810148789	1.00188936716263
20	0.5	0.868621432496921	1.73724286499384	0.510146610945122	1.02029322189024
40	0.5	0.652739525725639	1.30547905145128	0.504872772978965	1.00974554595793
60	0.5	0.574831199594413	1.14966239918883	0.503206271918338	1.00641254383668
80	0.5	0.538317701914119	1.07663540382824	0.502389169892683	1.00477833978537
100	0.5	0.519873419545256	1.03974683909051	0.501903956403933	1.00380791280787
120	0.5	0.510413285380469	1.02082657076094	0.501582556942329	1.00316511388466
140	0.5	0.505595640808217	1.01119128161643	0.501353994984072	1.00270798996814
160	0.5	0.503172642580826	1.00634528516165	0.501183120314154	1.00236624062831
180	0.5	0.501962780411746	1.00392556082349	0.501050542334244	1.00210108466849
200	0.5	0.501354344645765	1.00270868929153	0.500944683440586	1.00188936688117
20	0.7	0.938352384378824	1.34050340625546	0.714205255325685	1.02029322189384
40	0.7	0.762013461736165	1.08859065962309	0.706821882251786	1.00974554607398
60	0.7	0.718478961940485	1.02639851705784	0.704488780684562	1.00641254383509
80	0.7	0.706617111991781	1.00945301713112	0.703344837840823	1.0047783397726
100	0.7	0.703367063912046	1.00481009130292	0.702665538961495	1.00380791280214
120	0.7	0.702355262529421	1.00336466075632	0.702215579718073	1.00316511388296
140	0.7	0.701921788812758	1.00274541258965	0.701895592179721	1.00270798882817
160	0.7	0.701661048215598	1.00237292602228	0.701656369259191	1.00236624179884
180	0.7	0.701471562316814	1.00210223188116	0.701470759976636	1.00210108568091
200	0.7	0.70132268981978	1.0018895568854	0.701322557008402	1.00188936715486
