n	d.pop	meand	over	meand.all	over.all
20	0.3	0.8295689093958	2.765229697986	0.307383852787943	1.02461284262648
40	0.3	0.585984027990704	1.95328009330235	0.302049667766285	1.00683222588762
60	0.3	0.488781718120777	1.62927239373592	0.301975810504897	1.00658603501632
80	0.3	0.435483419377855	1.45161139792618	0.298128484593179	0.993761615310598
100	0.3	0.400571088275983	1.33523696091994	0.301163995057894	1.00387998352631
120	0.3	0.377187104687022	1.25729034895674	0.301148094467375	1.00382698155792
140	0.3	0.360105864536075	1.20035288178692	0.300597213226487	1.00199071075496
160	0.3	0.345759880050213	1.15253293350071	0.300209206503009	1.00069735501003
180	0.3	0.336952037457242	1.12317345819081	0.300931953823144	1.00310651274381
200	0.3	0.327448828512888	1.09149609504296	0.299796159723945	0.999320532413152
20	0.5	0.867846531675852	1.7356930633517	0.513272730694033	1.02654546138807
40	0.5	0.653262755688571	1.30652551137714	0.501422779804409	1.00284555960882
60	0.5	0.571756721778151	1.1435134435563	0.501621743253708	1.00324348650742
80	0.5	0.538334404912289	1.07666880982458	0.502324362472617	1.00464872494523
100	0.5	0.517633077986577	1.03526615597315	0.499528823835457	0.999057647670914
120	0.5	0.509774451924257	1.01954890384851	0.500903282506427	1.00180656501285
140	0.5	0.504768374437221	1.00953674887444	0.500942182905448	1.0018843658109
160	0.5	0.502991623001933	1.00598324600387	0.500863618673265	1.00172723734653
180	0.5	0.501519988194147	1.00303997638829	0.500338670822498	1.000677341645
200	0.5	0.502843744787995	1.00568748957599	0.502614182170552	1.0052283643411
20	0.7	0.931105295725385	1.33015042246484	0.710399370839935	1.01485624405705
40	0.7	0.76001771871026	1.08573959815751	0.705222198391639	1.00746028341663
60	0.7	0.719083934787173	1.02726276398168	0.704863988345822	1.00694855477975
80	0.7	0.708994514810779	1.01284930687254	0.705653776037965	1.00807682291138
100	0.7	0.703804454583126	1.00543493511875	0.702911760588222	1.00415965798317
120	0.7	0.699833087227238	0.999761553181769	0.699833087227238	0.999761553181769
140	0.7	0.702805097789232	1.00400728255605	0.702805097789232	1.00400728255605
160	0.7	0.701723719861039	1.00246245694434	0.701723719861039	1.00246245694434
180	0.7	0.7018129223052	1.00258988900743	0.7018129223052	1.00258988900743
200	0.7	0.701298399492598	1.001854856418	0.701298399492598	1.001854856418
