n	sig.level	sd.het	pval	pval.tval	over	over.tval
340	0.05	0.1	0.05	0.232532505993886	1	4.65065011987772
350	0.05	0.1	0.0500000000000001	0.236833616602064	1	4.73667233204129
360	0.05	0.1	0.05	0.24107248575088	1	4.82144971501759
370	0.05	0.1	0.05	0.245250167972037	1	4.90500335944074
380	0.05	0.1	0.0500000000000001	0.249367724618431	1	4.98735449236863
390	0.05	0.1	0.05	0.25342621978642	1	5.06852439572839
400	0.05	0.1	0.05	0.257426716809982	1	5.14853433619964
20	0.05	0.2	0.0499999999999999	0.0952479385138377	0.999999999999998	1.90495877027675
30	0.05	0.2	0.05	0.118974512561636	1	2.37949025123272
40	0.05	0.2	0.05	0.141868016226154	0.999999999999999	2.83736032452309
50	0.05	0.2	0.05	0.163708666434772	1	3.27417332869544
60	0.05	0.2	0.0500000000000023	0.184413859475374	1.00000000000004	3.68827718950749
70	0.05	0.2	0.0500000000000011	0.203977771756838	1.00000000000002	4.07955543513676
80	0.05	0.2	0.0500000000000005	0.222435859928126	1.00000000000001	4.44871719856252
90	0.05	0.2	0.0500000000000002	0.239844394583142	1	4.79688789166284
100	0.05	0.2	0.0500000000000002	0.256268742168724	1	5.12537484337449
110	0.05	0.2	0.0500000000000001	0.271776725377498	1	5.43553450754997
120	0.05	0.2	0.0500000000000001	0.286434943722508	1	5.72869887445017
130	0.05	0.2	0.0500000000000001	0.300306825609971	1	6.00613651219943
140	0.05	0.2	0.0500000000000001	0.31345169287426	1	6.2690338574852
150	0.05	0.2	0.05	0.325924413211167	1	6.51848826422334
160	0.05	0.2	0.0500000000000001	0.337775388022909	1	6.75550776045817
170	0.05	0.2	0.0500000000000001	0.349050724902823	1	6.98101449805647
180	0.05	0.2	0.05	0.359792504739541	1	7.19585009479083
190	0.05	0.2	0.0500000000000001	0.370039090020009	1	7.40078180040017
200	0.05	0.2	0.05	0.379825443098097	1	7.59650886196193
210	0.05	0.2	0.05	0.389183436690069	1	7.78366873380138
220	0.05	0.2	0.05	0.398142147061204	1	7.96284294122407
230	0.05	0.2	0.0500000000000001	0.406728125326455	1	8.13456250652909
240	0.05	0.2	0.05	0.414965645247172	1	8.29931290494344
250	0.05	0.2	0.0500000000000001	0.422876927629785	1	8.45753855259571
260	0.05	0.2	0.0500000000000001	0.430482342393886	1	8.60964684787772
270	0.05	0.2	0.05	0.437800589870525	1	8.7560117974105
280	0.05	0.2	0.05	0.444848863100683	1	8.89697726201365
290	0.05	0.2	0.05	0.451642992943862	1	9.03285985887723
300	0.05	0.2	0.05	0.458197577749646	1	9.16395155499292
310	0.05	0.2	0.0500000000000001	0.464526099235571	1	9.29052198471141
320	0.05	0.2	0.05	0.470641026080449	1	9.41282052160897
330	0.05	0.2	0.05	0.476553906600074	1	9.53107813200148
340	0.05	0.2	0.05	0.482275451731821	0.999999999999999	9.64550903463643
350	0.05	0.2	0.0500000000000001	0.487815609421586	1	9.75631218843171
360	0.05	0.2	0.05	0.493183631383565	1	9.8636726276713
370	0.05	0.2	0.05	0.498388133091694	1	9.96776266183388
380	0.05	0.2	0.0500000000000001	0.503437147761241	1	10.0687429552248
390	0.05	0.2	0.05	0.508338174989742	0.999999999999999	10.1667634997948
400	0.05	0.2	0.05	0.513098224647293	1	10.2619644929459
20	0.05	0.4	0.0499999999999999	0.21697153719448	0.999999999999998	4.33943074388959
30	0.05	0.4	0.05	0.282154731443501	1	5.64309462887003
40	0.05	0.4	0.05	0.334335121524599	0.999999999999999	6.68670243049198
50	0.05	0.4	0.05	0.37699299094004	0.999999999999999	7.5398598188008
60	0.05	0.4	0.0500000000000023	0.412585508471315	1.00000000000005	8.25171016942631
70	0.05	0.4	0.050000000000001	0.442814457339908	1.00000000000002	8.85628914679815
80	0.05	0.4	0.0500000000000005	0.468877202835317	1.00000000000001	9.37754405670635
90	0.05	0.4	0.0500000000000003	0.491635947284231	1.00000000000001	9.83271894568461
100	0.05	0.4	0.0500000000000002	0.511726257531908	1	10.2345251506382
110	0.05	0.4	0.0500000000000001	0.529626902674624	1	10.5925380534925
120	0.05	0.4	0.0500000000000001	0.545705634191768	1	10.9141126838354
130	0.05	0.4	0.0500000000000001	0.56024987506019	1	11.2049975012038
140	0.05	0.4	0.0500000000000001	0.573487761021937	1	11.4697552204387
150	0.05	0.4	0.05	0.585602878092746	1	11.7120575618549
160	0.05	0.4	0.0500000000000001	0.596744790476628	1	11.9348958095326
170	0.05	0.4	0.05	0.607036698320518	1	12.1407339664104
180	0.05	0.4	0.05	0.616581100254305	1	12.3316220050861
190	0.05	0.4	0.0500000000000001	0.625464043884936	1	12.5092808776987
200	0.05	0.4	0.05	0.633758360363978	1	12.6751672072796
210	0.05	0.4	0.05	0.641526156873858	1	12.8305231374772
220	0.05	0.4	0.05	0.648820759462164	1	12.9764151892433
230	0.05	0.4	0.0500000000000001	0.655688243500502	1	13.11376487001
240	0.05	0.4	0.05	0.66216865107762	1	13.2433730215524
250	0.05	0.4	0.05	0.66829696810657	1	13.3659393621314
260	0.05	0.4	0.0500000000000001	0.674103915127739	1	13.4820783025548
270	0.05	0.4	0.05	0.679616592296332	1	13.5923318459266
280	0.05	0.4	0.0500000000000001	0.684859009239727	1	13.6971801847945
290	0.05	0.4	0.05	0.689852523267061	1	13.7970504653412
300	0.05	0.4	0.05	0.694616204064749	1	13.892324081295
310	0.05	0.4	0.0500000000000001	0.699167139000546	1	13.9833427800109
320	0.05	0.4	0.05	0.703520690122754	1	14.0704138024551
330	0.05	0.4	0.0500000000000001	0.707690711623155	1	14.1538142324631
340	0.05	0.4	0.05	0.711689734747854	0.999999999999999	14.2337946949571
350	0.05	0.4	0.0500000000000001	0.715529125755933	1	14.3105825151187
360	0.05	0.4	0.0500000000000001	0.719219221444171	1	14.3843844288834
370	0.05	0.4	0.05	0.722769445904942	1	14.4553889180988
380	0.05	0.4	0.0500000000000001	0.726188411510392	1	14.5237682302078
390	0.05	0.4	0.05	0.729484006578871	0.999999999999999	14.5896801315774
400	0.05	0.4	0.0500000000000001	0.73266347174905	1	14.653269434981
